train ID,train type,origin,destination,departure time,# of nodes, actual trip time,,node, time_stemp, node_position
1,1,1,6,0,8,6
,,,,,,,,1,0, 0.82
,,,,,,,,1,0, 0.82
,,,,,,,,2,2, 0.41
,,,,,,,,2,2, 0.41
,,,,,,,,3,4, 0.35
,,,,,,,,3,4, 0.35
,,,,,,,,6,6, 0.74
,,,,,,,,6,6, 0.74
2,1,1,6,0,8,6
,,,,,,,,1,0, 0.82
,,,,,,,,1,0, 0.82
,,,,,,,,2,2, 0.41
,,,,,,,,2,2, 0.41
,,,,,,,,3,4, 0.35
,,,,,,,,3,4, 0.35
,,,,,,,,6,6, 0.74
,,,,,,,,6,6, 0.74
20,2,5,4,0,8,6
,,,,,,,,5,0, 0.22
,,,,,,,,5,0, 0.22
,,,,,,,,2,2, 0.41
,,,,,,,,2,2, 0.41
,,,,,,,,3,4, 0.35
,,,,,,,,3,4, 0.35
,,,,,,,,4,6, 0.00
,,,,,,,,4,6, 0.00
21,2,5,4,0,8,6
,,,,,,,,5,0, 0.22
,,,,,,,,5,0, 0.22
,,,,,,,,2,2, 0.41
,,,,,,,,2,2, 0.41
,,,,,,,,3,4, 0.35
,,,,,,,,3,4, 0.35
,,,,,,,,4,6, 0.00
,,,,,,,,4,6, 0.00
3,1,1,6,1,8,6
,,,,,,,,1,1, 0.82
,,,,,,,,1,1, 0.82
,,,,,,,,2,3, 0.41
,,,,,,,,2,3, 0.41
,,,,,,,,3,5, 0.35
,,,,,,,,3,5, 0.35
,,,,,,,,6,7, 0.74
,,,,,,,,6,7, 0.74
4,1,1,6,1,8,6
,,,,,,,,1,1, 0.82
,,,,,,,,1,1, 0.82
,,,,,,,,2,3, 0.41
,,,,,,,,2,3, 0.41
,,,,,,,,3,5, 0.35
,,,,,,,,3,5, 0.35
,,,,,,,,6,7, 0.74
,,,,,,,,6,7, 0.74
22,2,5,4,1,4,10
,,,,,,,,5,1, 0.22
,,,,,,,,5,1, 0.22
,,,,,,,,4,11, 0.00
,,,,,,,,4,11, 0.00
23,2,5,4,1,4,10
,,,,,,,,5,1, 0.22
,,,,,,,,5,1, 0.22
,,,,,,,,4,11, 0.00
,,,,,,,,4,11, 0.00
5,1,1,6,2,8,6
,,,,,,,,1,2, 0.82
,,,,,,,,1,2, 0.82
,,,,,,,,2,4, 0.41
,,,,,,,,2,4, 0.41
,,,,,,,,3,6, 0.35
,,,,,,,,3,6, 0.35
,,,,,,,,6,8, 0.74
,,,,,,,,6,8, 0.74
6,1,1,6,2,8,6
,,,,,,,,1,2, 0.82
,,,,,,,,1,2, 0.82
,,,,,,,,2,4, 0.41
,,,,,,,,2,4, 0.41
,,,,,,,,3,6, 0.35
,,,,,,,,3,6, 0.35
