train ID,train type,origin,destination,Departure Time,# of nodes,preferred arrival time,actual trip time,,arc processing time,arc waiting time,timestamp_X,node sequence_Y
1,1,1,18,364,0,-1,-1,,,,,
2,2,1,18,452,0,-1,-1,,,,,
3,1,1,18,469,0,-1,-1,,,,,
4,1,1,18,557,0,-1,-1,,,,,
5,1,1,18,572,0,-1,-1,,,,,
6,2,1,18,659,0,-1,-1,,,,,
7,1,1,18,677,0,-1,-1,,,,,
8,1,1,18,784,0,-1,-1,,,,,
9,2,1,18,881,0,-1,-1,,,,,
10,1,1,18,899,0,-1,-1,,,,,
11,1,1,18,1008,0,-1,-1,,,,,
12,1,1,18,1110,0,-1,-1,,,,,
