train ID,train type,origin,destination,departure time,# of nodes,preferred arrival time,actual trip time,,arc processing time,arc waiting time,timestamp_X,node sequence_Y
1,1,1,6,0,4,-1,6
,,,,,,,,,0,0,0,1
,,,,,,,,,2,0,2,2
,,,,,,,,,2,0,4,3
,,,,,,,,,2,0,6,6
2,1,1,6,0,4,-1,6
,,,,,,,,,0,0,0,1
,,,,,,,,,2,0,2,2
,,,,,,,,,2,0,4,3
,,,,,,,,,2,0,6,6
20,2,5,4,0,2,-1,10
,,,,,,,,,0,0,0,5
,,,,,,,,,10,0,10,4
21,2,5,4,0,2,-1,10
,,,,,,,,,0,0,0,5
,,,,,,,,,10,0,10,4
3,1,1,6,1,2,-1,10
,,,,,,,,,1,0,1,1
,,,,,,,,,10,0,11,6
4,1,1,6,1,2,-1,10
,,,,,,,,,1,0,1,1
,,,,,,,,,10,0,11,6
22,2,5,4,1,2,-1,10
,,,,,,,,,1,0,1,5
,,,,,,,,,10,0,11,4
23,2,5,4,1,2,-1,10
,,,,,,,,,1,0,1,5
,,,,,,,,,10,0,11,4
5,1,1,6,2,4,-1,6
,,,,,,,,,2,0,2,1
,,,,,,,,,2,0,4,2
,,,,,,,,,2,0,6,3
,,,,,,,,,2,0,8,6
6,1,1,6,2,4,-1,6
,,,,,,,,,2,0,2,1
,,,,,,,,,2,0,4,2
,,,,,,,,,2,0,6,3
,,,,,,,,,2,0,8,6
24,2,5,4,2,2,-1,10
,,,,,,,,,2,0,2,5
,,,,,,,,,10,0,12,4
25,2,5,4,2,2,-1,10
,,,,,,,,,2,0,2,5
,,,,,,,,,10,0,12,4
7,1,1,6,3,2,-1,10
,,,,,,,,,3,0,3,1
,,,,,,,,,10,0,13,6
8,1,1,6,3,2,-1,10
,,,,,,,,,3,0,3,1
,,,,,,,,,10,0,13,6
26,2,5,4,3,2,-1,10
,,,,,,,,,3,0,3,5
,,,,,,,,,10,0,13,4
27,2,5,4,3,2,-1,10
,,,,,,,,,3,0,3,5
,,,,,,,,,10,0,13,4
9,1,1,6,4,4,-1,6
,,,,,,,,,4,0,4,1
,,,,,,,,,2,0,6,2
,,,,,,,,,2,0,8,3
,,,,,,,,,2,0,10,6
10,1,1,6,4,4,-1,6
,,,,,,,,,4,0,4,1
,,,,,,,,,2,0,6,2
,,,,,,,,,2,0,8,3
,,,,,,,,,2,0,10,6
28,2,5,4,4,2,-1,10
,,,,,,,,,4,0,4,5
,,,,,,,,,10,0,14,4
29,2,5,4,4,2,-1,10
,,,,,,,,,4,0,4,5
,,,,,,,,,10,0,14,4
11,1,1,6,5,2,-1,10
,,,,,,,,,5,0,5,1
,,,,,,,,,10,0,15,6
12,1,1,6,5,2,-1,10
,,,,,,,,,5,0,5,1
,,,,,,,,,10,0,15,6
30,2,5,4,5,2,-1,10
,,,,,,,,,5,0,5,5
,,,,,,,,,10,0,15,4
31,2,5,4,5,2,-1,10
,,,,,,,,,5,0,5,5
,,,,,,,,,10,0,15,4
13,1,1,6,6,4,-1,6
,,,,,,,,,6,0,6,1
,,,,,,,,,2,0,8,2
,,,,,,,,,2,0,10,3
,,,,,,,,,2,0,12,6
14,1,1,6,6,4,-1,6
,,,,,,,,,6,0,6,1
,,,,,,,,,2,0,8,2
,,,,,,,,,2,0,10,3
,,,,,,,,,2,0,12,6
32,2,5,4,6,2,-1,10
,,,,,,,,,6,0,6,5
,,,,,,,,,10,0,16,4
33,2,5,4,6,2,-1,10
,,,,,,,,,6,0,6,5
,,,,,,,,,10,0,16,4
15,1,1,6,7,2,-1,10
,,,,,,,,,7,0,7,1
,,,,,,,,,10,0,17,6
16,1,1,6,7,2,-1,10
,,,,,,,,,7,0,7,1
,,,,,,,,,10,0,17,6
34,2,5,4,7,2,-1,10
,,,,,,,,,7,0,7,5
,,,,,,,,,10,0,17,4
35,2,5,4,7,2,-1,10
,,,,,,,,,7,0,7,5
,,,,,,,,,10,0,17,4
17,1,1,6,8,4,-1,6
,,,,,,,,,8,0,8,1
,,,,,,,,,2,0,10,2
,,,,,,,,,2,0,12,3
,,,,,,,,,2,0,14,6
18,1,1,6,8,4,-1,6
,,,,,,,,,8,0,8,1
,,,,,,,,,2,0,10,2
,,,,,,,,,2,0,12,3
,,,,,,,,,2,0,14,6
36,2,5,4,8,2,-1,10
,,,,,,,,,8,0,8,5
,,,,,,,,,10,0,18,4
37,2,5,4,8,2,-1,10
,,,,,,,,,8,0,8,5
,,,,,,,,,10,0,18,4
19,1,1,6,9,2,-1,10
,,,,,,,,,9,0,9,1
,,,,,,,,,10,0,19,6
38,2,5,4,9,2,-1,10
,,,,,,,,,9,0,9,5
,,,,,,,,,10,0,19,4
39,2,5,4,9,2,-1,10
,,,,,,,,,9,0,9,5
,,,,,,,,,10,0,19,4
40,2,5,4,9,2,-1,10
,,,,,,,,,9,0,9,5
,,,,,,,,,10,0,19,4
