train ID,train type,origin,destination,Early Departure Time,Allowable Slack at Departure,Latest Arrival Time,Fixed Revenue,"Incentive for Early Departure from Origin, per unit time","Incentive for Early Arrival to Destination, per unit time",Cost per Unit Time Stopped
1,1,1,6,0,3,-1,1,0,0,2
2,1,1,6,0,3,-1,1,0,0,2
20,2,5,4,0,3,-1,1,0,0,2
21,2,5,4,0,3,-1,1,0,0,2
3,1,1,6,1,3,-1,1,0,0,2
4,1,1,6,1,3,-1,1,0,0,2
22,2,5,4,1,3,-1,1,0,0,2
23,2,5,4,1,3,-1,1,0,0,2
5,1,1,6,2,3,-1,1,0,0,2
6,1,1,6,2,3,-1,1,0,0,2
24,2,5,4,2,3,-1,1,0,0,2
25,2,5,4,2,3,-1,1,0,0,2
7,1,1,6,3,3,-1,1,0,0,2
8,1,1,6,3,3,-1,1,0,0,2
26,2,5,4,3,3,-1,1,0,0,2
27,2,5,4,3,3,-1,1,0,0,2
9,1,1,6,4,3,-1,1,0,0,2
10,1,1,6,4,3,-1,1,0,0,2
28,2,5,4,4,3,-1,1,0,0,2
29,2,5,4,4,3,-1,1,0,0,2
11,1,1,6,5,3,-1,1,0,0,2
12,1,1,6,5,3,-1,1,0,0,2
30,2,5,4,5,3,-1,1,0,0,2
31,2,5,4,5,3,-1,1,0,0,2
13,1,1,6,6,3,-1,1,0,0,2
14,1,1,6,6,3,-1,1,0,0,2
32,2,5,4,6,3,-1,1,0,0,2
33,2,5,4,6,3,-1,1,0,0,2
15,1,1,6,7,3,-1,1,0,0,2
16,1,1,6,7,3,-1,1,0,0,2
34,2,5,4,7,3,-1,1,0,0,2
35,2,5,4,7,3,-1,1,0,0,2
17,1,1,6,8,3,-1,1,0,0,2
18,1,1,6,8,3,-1,1,0,0,2
36,2,5,4,8,3,-1,1,0,0,2
37,2,5,4,8,3,-1,1,0,0,2
19,1,1,6,9,3,-1,1,0,0,2
38,2,5,4,9,3,-1,1,0,0,2
39,2,5,4,9,3,-1,1,0,0,2
40,2,5,4,9,3,-1,1,0,0,2
