train ID,train type,origin,destination,departure time,# of nodes, actual trip time,,node, time_stemp, node_position
2,2,1,6,26,12,82
,,,,,,,,1,26, 0.00
,,,,,,,,1,26, 0.00
,,,,,,,,2,44,12.10
,,,,,,,,2,44,12.10
,,,,,,,,3,61,22.20
,,,,,,,,3,61,22.20
,,,,,,,,4,67,26.70
,,,,,,,,4,67,26.70
,,,,,,,,5,92,38.40
,,,,,,,,5,92,38.40
,,,,,,,,6,108,44.70
,,,,,,,,6,108,44.70
3,2,1,6,52,12,85
,,,,,,,,1,52, 0.00
,,,,,,,,1,55, 0.00
,,,,,,,,2,73,12.10
,,,,,,,,2,73,12.10
,,,,,,,,3,90,22.20
,,,,,,,,3,90,22.20
,,,,,,,,4,96,26.70
,,,,,,,,4,96,26.70
,,,,,,,,5,121,38.40
,,,,,,,,5,121,38.40
,,,,,,,,6,137,44.70
,,,,,,,,6,137,44.70
4,1,1,6,78,12,43
,,,,,,,,1,78, 0.00
,,,,,,,,1,78, 0.00
,,,,,,,,2,88,12.10
,,,,,,,,2,88,12.10
,,,,,,,,3,97,22.20
,,,,,,,,3,97,22.20
,,,,,,,,4,101,26.70
,,,,,,,,4,101,26.70
,,,,,,,,5,113,38.40
,,,,,,,,5,113,38.40
,,,,,,,,6,121,44.70
,,,,,,,,6,121,44.70
